mdb_id,address,street,postalcode,city,lat,lon
2396,"Hermannstraße 6, 09111 Chemnitz",Hermannstraße 6,09111,Chemnitz,50.8425702,12.9253075
2396,"Innere Schneeberger Straße 16, 08056 Zwickau",Innere Schneeberger Straße 16,08056,Zwickau,50.7159489,12.4967133
2397,"Goldstraße 5, 46325 Borken",Goldstraße 5,46325,Borken,51.8429876,6.8582611
2110,,,,,,
2111,,,,,,
2605,,,,,,
1673,,,,,,
2398,"Hallertorstraße 16, 92318 Neumarkt i. d. OPf.",Hallertorstraße 16,92318,Neumarkt i. d. OPf.,49.2790342,11.4558512
2398,"Schlachthausstr. 6, 92224 Amberg",Schlachthausstr. 6,92224,Amberg,49.44344395,11.863474361470274
2112,"Karl-Marx-Str. 15, 02625 Bautzen",Karl-Marx-Str. 15,02625,Bautzen,51.1785489,14.4284751
1538,"Georgenstraße 27, 99817 Eisenach",Georgenstraße 27,99817,Eisenach,50.97573955,10.316328537915552
1538,"Lange Straße 3-4, 999947 Bad Langensalza",Lange Straße 3-4,99994,7 Bad Langensalza,,
1538,"Steinweg 51, 99974 Mühlhausen",Steinweg 51,99974,Mühlhausen,51.210024,10.4627435
1831,"Karl-Sauer-Str. 8, 76829 Landau in der Pfalz",Karl-Sauer-Str. 8,76829,Landau in der Pfalz,49.1938405,8.1140818
1831,"Marktstr. 27, 76887 Bad Bergzabern",Marktstr. 27,76887,Bad Bergzabern,49.101128450000004,7.996531553406022
2114,"Verdener Straße 51, 28832 Achim",Verdener Straße 51,28832,Achim,53.0010845,9.0619682
2113,"Mainzer Str. 34, 55743 Idar-Oberstein",Mainzer Str. 34,55743,Idar-Oberstein,49.719097,7.3023375
2113,"Neue Straße 2, 55606 Kirn",Neue Straße 2,55606,Kirn,49.787153,7.458288883528644
1674,,,,,,
2399,,,,,,
1832,"Baumhofstraße 21, 97282 Marktheidenfeld",Baumhofstraße 21,97282,Marktheidenfeld,49.84665495,9.608594492967288
2115,"Bahnhofstr. 1, 34590 Wabern",Bahnhofstr. 1,34590,Wabern,51.1034329,9.3580668
2116,"Hauptstraße 46, 79639 Grenzach-Wyhlen",Hauptstraße 46,79639,Grenzach-Wyhlen,47.5533504,7.6614468
1426,"Franziskanerstr. 14, 81669 München",Franziskanerstr. 14,81669,München,48.1267725,11.5919659
2604,"Großer Plan 27, 29221 Celle",Großer Plan 27,29221,Celle,52.6229108,10.08134756316739
2120,"Mariakronstraße 12-14, 18437 Stralsund",Mariakronstraße 12-14,18437,Stralsund,54.3149744,13.077178
2121,,,,,,
1833,,,,,,
2400,"Wandsbeker Königstraße 66, 22041 Hamburg",Wandsbeker Königstraße 66,22041,Hamburg,53.5757273,10.0624634
2401,,,,,,
2122,,,,,,
2123,"Margarete-Reichl-Straße 6, 85354 Freising",Margarete-Reichl-Straße 6,85354,Freising,48.3709414,11.7033069
2123,"Lilienthalstraße 19a, 85296 Rohrbach",Lilienthalstraße 19a,85296,Rohrbach,48.609311,11.5785649
2402,"Petrusstraße 1, 54292 Trier",Petrusstraße 1,54292,Trier,49.75978565,6.645886836697986
2403,,,,,,
217,"Parkstraße 31, 59425 Unna",Parkstraße 31,59425,Unna,51.544125449999996,7.689724655481209
1578,,,,,,
2404,,,,,,
2125,,,,,,
1839,"Jägergasse 2, 85408 Gammelsdorf",Jägergasse 2,85408,Gammelsdorf,48.5537421,11.9449235
2127,"Unter Käster 1, 50667 Köln",Unter Käster 1,50667,Köln,50.9375418,6.9600612
1840,"Winzererstraße 27, 80797 München",Winzererstraße 27,80797,München,48.1590936,11.5609257
2405,,,,,,
2406,"Am Kirchplatz 4, 26441 Jever",Am Kirchplatz 4,26441,Jever,53.5736684,7.9015955
1738,"Wasserstraße 5, 40213 Düsseldorf",Wasserstraße 5,40213,Düsseldorf,51.218103049999996,6.772081029517162
2128,"Eichhofstraße 27-29, 24116 Kiel",Eichhofstraße 27-29,24116,Kiel,54.33294465,10.10642805263158
2129,,,,,,
1433,"Hofhalde 12, 78462 Konstanz",Hofhalde 12,78462,Konstanz,47.6627165,9.1754397
1845,"Großschmiedestraße 9, 23966 Wismar",Großschmiedestraße 9,23966,Wismar,53.89119545,11.46819239240947
1845,"Dammchausssee 3, 18209 Bad Doberan",Dammchausssee 3,18209,Bad Doberan,,
1845,"Lange Straße 40, 19370 Parchim",Lange Straße 40,19370,Parchim,53.4281023,11.844693041104474
1434,"Untere Neckarstrasse 50, 74072 Heilbronn",Untere Neckarstrasse 50,74072,Heilbronn,49.1450148,9.217780451691542
2407,,,,,,
1551,"Untere Husemannstr. 38, 59425 Unna",Untere Husemannstr. 38,59425,Unna,51.5417746,7.685615
2408,,,,,,
2132,,,,,,
2134,,,,,,
2409,"Untere Marktstraße 6, 71634 Ludwigsburg",Untere Marktstraße 6,71634,Ludwigsburg,48.89840975,9.191695196401731
1851,"Oststr. 1, 49477 Ibbenbüren",Oststr. 1,49477,Ibbenbüren,52.2759028,7.7187578
2410,,,,,,
2411,,,,,,
1853,"Kapellenstraße 17, 76437 Rastatt",Kapellenstraße 17,76437,Rastatt,48.8564005,8.206690604058757
2412,,,,,,
